charges,krs,uorCode
"Att Tics - 2nd Degree, 1st offense (>= 20 D.U. Drug Unspecified Sch 3)",218A14131A,424551
"Solc Tics - 2nd Degree, 1st offense (>= 20 D.U. Drug Unspecified Sch 3)",218A14131A,424552
"Facl Tics - 2nd Degree, 1st offense (>= 20 D.U. Drug Unspecified Sch 3)",218A14131A,424554
"Att Tics - 2nd Degree, 1st offense (< 20 D.U. Drug Unspecified Sch 3)",218A14131A,424571
"Solc Tics - 2nd Degree, 1st offense (< 20 D.U. Drug Unspecified Sch 3)",218A14131A,424572
"Facl Tics - 2nd Degree, 1st offense (< 20 D.U. Drug Unspecified Sch 3)",218A14131A,424574
"Att Tics - 2nd Degree, 2nd offense (< 20 D.U. Drug Unspecified Sch 3)",218A14131A,424581
"Solc Tics - 2nd Degree, 2nd offense (< 20 D.U. Drug Unspecified Sch 3)",218A14131A,424582
"Facl Tics - 2nd Degree, 2nd offense (< 20 D.U. Drug Unspecified Sch 3)",218A14131A,424584
Manufacturing Napthylprovalerone ,218A1455,424600
Att Manufacturing Napthylprovalerone ,218A1455,424601
Solc Manufacturing Napthylprovalerone ,218A1455,424602
Cons Manufacturing Napthylprovalerone ,218A1455,424603
Facl Manufacturing Napthylprovalerone ,218A1455,424604
Comp Manufacturing Napthylprovalerone ,218A1455,424605
"Manufacturing 3,4 Methylene Dioxypyrovalerone",218A1455,424610
"Att Manufacturing 3,4 Methylene Dioxypyrovalerone",218A1455,424611
"Solc Manufacturing 3,4 Methylene Dioxypyrovalerone",218A1455,424612
"Cons Manufacturing 3,4 Methylene Dioxypyrovalerone",218A1455,424613
"Facl Manufacturing 3,4 Methylene Dioxypyrovalerone",218A1455,424614
"Comp Manufacturing 3,4 Methylene Dioxypyrovalerone",218A1455,424615
"Manufacturing 3,4 Methylene Dioxymethylcathinone",218A1455,424620
"Att Manufacturing 3,4 Methylene Dioxymethylcathinone",218A1455,424621
"Solc Manufacturing 3,4 Methylene Dioxymethylcathinone",218A1455,424622
"Cons Manufacturing 3,4 Methylene Dioxymethylcathinone",218A1455,424623
"Facl Manufacturing 3,4 Methylene Dioxymethylcathinone",218A1455,424624
"Comp Manufacturing 3,4 Methylene Dioxymethylcathinone",218A1455,424625
Manufacturing 4 Methylmethcathinone,218A1455,424630
Att Manufacturing 4 Methylmethcathinone,218A1455,424631
Solc Manufacturing 4 Methmethcathinone,218A1455,424632
Cons Manufacturing 4 Methylmethcathinone,218A1455,424633
Facl Manufacturing 4 Methylmethcathinone,218A1455,424634
Comp Manufacturing 4 Methylmethcathinone,218A1455,424635
"Att Tics - 2nd Degree, 1st offense (< 10 D.U. Amphetamine)",218A14131A,425511
"Solc Tics - 2nd Degree, 1st offense (< 10 D.U. Amphetamine)",218A14131A,424512
"Facl Tics - 2nd Degree, 1st offense (< 10 D.U. Amphetamine)",218A14131A,424514
"Att Tics - 2nd Degree, 2nd or > offense (< 10 D.U. Amphetamine)",218A14131A,425521
"Solc Tics - 2nd Degree, 2nd or > offense (< 10 D.U. Amphetamine)",218A14131A,425522
"Facl Tics - 2nd Degree, 2nd or > offense (< 10 D.U. Amphetamine)",218A14131A,425524
"Att Tics - 2nd Degree, 1st offense (>= 20 D.U. Barbituate)",218A14131A,425531
"Solc Tics - 2nd Degree, 1st offense (>= 20 D.U. Barbituate)",218A14131A,425532
"Facl Tics - 2nd Degree, 1st offense (>= 20 D.U. Barbituate)",218A14131A,425534
"Att Tics - 2nd Degree, 2nd or > offense (< 10 D.U. Hallucinogen)",218A14131A,425601
"Solc Tics - 2nd Degree, 2nd or > offense (< 10 D.U. Hallucinogen)",218A14131A,425602
"Facl Tics - 2nd Degree, 2nd or > offense (< 10 D.U. Hallucinogen)",218A14131A,425604
"Att Tics - 2nd Degree, 1st offense (>= 10 D.U. Sched 1&2 Non-Narc)",218A14131A,0425611+A531:C534
"Solc Tics - 2nd Degree, 1st offense (>= 10 D.U. Sched 1&2 Non-Narc)",218A14131A,425612
"Facl Tics - 2nd Degree, 1st offense (>= 10 D.U. Sched 1&2 Non-Narc)",218A14131A,425614
"Att Tics - 2nd Degree, 1st offense (< 10 D.U. Sched 1&2 Non-Narc)",218A14131A,425631
"Solc Tics - 2nd Degree, 1st offense (< 10 D.U. Sched 1&2 Non-Narc)",218A14131A,425632
"Facl Tics - 2nd Degree, 1st offense (< 10 D.U. Sched 1&2 Non-Narc)",218A14131A,425634
"Tics - 3rd Degree, 1st offense (>= 20 D.U. Drug Unspecified Sch 3)",218A1414,425700
"Att Tics - 3rd Degree, 1st offense (>= 20 D.U. Drug Unspecified Sch 3)",218A1414,425701
"Solc Tics - 3rd Degree, 1st offense (>= 20 D.U. Drug Unspecified Sch 3)",218A1414,425702
"Cons Tics - 3rd Degree, 1st offense (>= 20 D.U. Drug Unspecified Sch 3)",218A1414,425703
"Facl Tics - 3rd Degree, 1st offense (>= 20 D.U. Drug Unspecified Sch 3)",218A1414,425704
"Comp Tics - 3rd Degree, 1st offense (>= 20 D.U. Drug Unspecified Sch 3)",218A1414,425705
"Att Tics - 3rd Degree, 2nd or > offense (>= 20 D.U. Drug Unspecified)",218A1414,425711
"Solc Tics - 3rd Degree, 2nd or > offense (>= 20 D.U. Drug Unspecified)",218A1414,425712
"Facl Tics - 3rd Degree, 2nd or > offense (>= 20 D.U. Drug Unspecified)",218A1414,425714
"Tics - 3rd Degree, 1st offense (< 20 D.U. Drug Unspecified)",218A1414,425720
"Att Tics - 3rd Degree, 1st offense (< 20 D.U. Drug Unspecified)",218A1414,425721
"Solc Tics - 3rd Degree, 1st offense (< 20 D.U. Drug Unspecified)",218A1414,425722
"Cons Tics - 3rd Degree, 1st offense (< 20 D.U. Drug Unspecified)",218A1414,425723
"Facl Tics - 3rd Degree, 1st offense (< 20 D.U. Drug Unspecified)",218A1414,425724
"Comp Tics - 3rd Degree, 1st offense (< 20 D.U. Drug Unspecified)",218A1414,425725
"Att Tics - 3rd Degree, 2nd or > offense (< 20 D.U. Drug Unspecified)",218A1414,425731
"Solc Tics - 3rd Degree, 2nd or > offense (< 20 D.U. Drug Unspecified)",218A1414,425732
"Facl Tics - 3rd Degree, 2nd or > offense (< 20 D.U. Drug Unspecified)",218A1414,425734
Prostitution,,
Prostitution,529020,16000
Att Prostitution,529020,16001
Solc Prostitution,529020,16002
Cons Prostitution,529020,16003
Facl Prostitution,529020,16004
Comp Prostitution,529020,16005
Permitting Prostitution,529070,16040
Att Permitting Prostitution,529070,16041
Solc Permitting Prostitution,529070,16042
Cons Permitting Prostitution,529070,16043
Facl Permitting Prostitution,529070,16044
Comp Permitting Prostitution,529070,16045
Loitering for Prostitution Purposes - 2nd > offense ,529080,16050
Att Loitering for Prostitution Purposes - 2nd > offense ,529080,16051
Solc Loitering for Prostitution Purposes - 2nd > offense ,529080,16052
Cons Loitering for Prostitution Purposes - 2nd > offense ,529080,16053
Facl Loitering for Prostitution Purposes - 2nd > offense ,529080,16054
Comp Loitering for Prostitution Purposes - 2nd > offense ,529080,16055
Prostitution While Infected (S.T.D.),529090(2),16070
Att Prostitution While Infected (S.T.D.),529090(2),16071
Solc Prostitution While Infected (S.T.D.),529090(2),16072
Cons Prostitution While Infected (S.T.D.),529090(2),16073
Facl Prostitution While Infected (S.T.D.),529090(2),16074
Comp Prostitution While Infected (H.I.V.),529090(2),16075
Att Prostitution While Infected (H.I.V.),529090(3),16081
Solc Prostitution While Infected (H.I.V.),529090(3),16082
Cons Prostitution While Infected (H.I.V.),529090(3),16083
Facl Prostitution While Infected (H.I.V.),529090(3),16084
"Att Prostitution, Procuring While Infected (H.I.V.)",529090(4),16091
"Solc Prostitution, Procuring While Infected (H.I.V.)",529090(4),16092
"Cons Prostitution, Procuring While Infected (H.I.V.)",529090(4),16093
"Facl Prostitution, Procuring While Infected (H.I.V.)",529090(4),16094
Promoting Prostitution,529040,401900
Att Promoting Prostitution,529040,401901
Solc Promoting Prostitution,529040,401902
Cons Promoting Prostitution,529040,401903
Facl Promoting Prostitution,529040,401904
Comp Promoting Prostitution,529040,401905
Att Promoting Prostitution (2 or more Prostitutes),529040,401911
Solc Promoting Prostitution (2 or more Prostitutes),529040,401912
Cons Promoting Prostitution (2 or more Prostitutes),529040,401913
Facl Promoting Prostitution (2 or more Prostitutes),529040,401914
Receiving Stolen Property,,
Att Receiving Stolen Property (Firearm),514.11,280201
Solc Receiving Stolen Property (Firearm),514.11,280202
Cons Receiving Stolen Property (Firearm),514.11,280203
Facl Receiving Stolen Property (Firearm),514.11,280204
Att Receiving Stolen Property (Anhydrous Ammonia),514.11,280211
Solc Receiving Stolen Property (Anhydrous Ammonia),514.11,280212
Cons Receiving Stolen Property (Anhydrous Ammonia),514.11,280213
Facl Receiving Stolen Property (Anhydrous Ammonia),514.11,280214
Receiving Stolen Property U/$500,514.11,280310
Att Receiving Stolen Property U/$500,514.11,280311
Solc Receiving Stolen Property U/$500,514.11,280312
Cons Receiving Stolen Property U/$500,514.11,280313
Facl Receiving Stolen Property U/$500,514.11,280314
Comp Receiving Stolen Property U/$500,514.11,280315
"Att Receiving Stolen Property U/$10,000",514.11,280321
"Solc Receiving Stolen Property U/$10,000",514.11,280322
"Cons Receiving Stolen Property U/$10,000",514.11,280323
"Facl Receiving Stolen Property U/$10,000",514.11,280324
"Att Receiving Stolen Property $10,000 or more",514.11,280331
"Solc Receiving Stolen Property $10,000 or more",514.11,280332
"Cons Receiving Stolen Property $10,000 or more",514.11,280333
"Facl Receiving Stolen Property $10,000 or more",514.11,280334
Terroristic Theratening ,,
Att Terroristic Theratening - 1st Degree,508075,8201
Solc Terroristic Theratening - 1st Degree,508075,8202
Cons Terroristic Theratening - 1st Degree,508075,8203
Facl Terroristic Theratening - 1st Degree,508075,8204
Att Terroristic Theratening - 2nd Degree,508078,8211
Solc Terroristic Theratening - 2nd Degree,508078,8212
Cons Terroristic Theratening - 2nd Degree,508078,8213
Facl Terroristic Theratening - 2nd Degree,508078,8214
Att Terroristic Theratening - 3rd Degree,508080,8221
Solc Terroristic Theratening - 3rd Degree,508080,8222
Cons Terroristic Theratening - 3rd Degree,508080,8223
Facl Terroristic Theratening - 3rd Degree,508080,8224
Theft,,
Theft by Unlawful Taking/Disp - Pocket Picking,514030,230100
Att Theft by Unlawful Taking/Disp - Pocket Picking,514030,230101
Solc Theft by Unlawful Taking/Disp - Pocket Picking,514030,230102
Cons Theft by Unlawful Taking/Disp - Pocket Picking,514030,230103
Facl Theft by Unlawful Taking/Disp - Pocket Picking,514030,230104
Comp Theft by Unlawful Taking/Disp - Pocket Picking,514030,230105
"TBUT - Pocket Picking $10,000 or more",514030,230150
"Att TBUT - Pocket Picking $10,000 or more",514030,230151
"Solc TBUT - Pocket Picking $10,000 or more",514030,230152
"Cons TBUT - Pocket Picking $10,000 or more",514030,230153
"Facl TBUT - Pocket Picking $10,000 or more",514030,230154
"Comp TBUT - Pocket Picking $10,000 or more",514030,230155
Theft by Unlawful Taking/Disp - Pocket Picking,514030,230190
Att Theft by Unlawful Taking/Disp - Pocket Picking,514030,230191
Solc Theft by Unlawful Taking/Disp - Pocket Picking,514030,230192
Cons Theft by Unlawful Taking/Disp - Pocket Picking,514030,230193
Facl Theft by Unlawful Taking/Disp - Pocket Picking,514030,230194
Comp Theft by Unlawful Taking/Disp - Pocket Picking,514030,230195
Theft by Unlawful Taking/Disp - Purse Snatching,514030,230200
Att Theft by Unlawful Taking/Disp - Purse Snatching,514030,230201
Solc Theft by Unlawful Taking/Disp - Purse Snatching,514030,230202
Cons Theft by Unlawful Taking/Disp - Purse Snatching,514030,230203
Facl Theft by Unlawful Taking/Disp - Purse Snatching,514030,230204
Comp Theft by Unlawful Taking/Disp - Purse Snatching,514030,230205
"TBUT - Purse Snatching $10,000 or more",514030,230250
"Att TBUT - Purse Snatching $10,000 or more",514030,230251
"Solc TBUT - Purse Snatching $10,000 or more",514030,230252
"Cons TBUT - Purse Snatching $10,000 or more",514030,230253
"Facl TBUT - Purse Snatching $10,000 or more",514030,230254
"Comp TBUT - Purse Snatching $10,000 or more",514030,230255
Theft by Unlawful Taking/Disp - Purse Snatching,514030,230290
Att Theft by Unlawful Taking/Disp - Purse Snatching,514030,230291
Solc Theft by Unlawful Taking/Disp - Purse Snatching,514030,230292
Cons Theft by Unlawful Taking/Disp - Purse Snatching,514030,230293
Facl Theft by Unlawful Taking/Disp - Purse Snatching,514030,230294
Comp Theft by Unlawful Taking/Disp - Purse Snatching,514030,230295
Theft by Unlawful Taking/Disp - Shoplifting,514030,230300
Att Theft by Unlawful Taking/Disp - Shoplifting,514030,230301
Solc Theft by Unlawful Taking/Disp - Shoplifting,514030,230302
Cons Theft by Unlawful Taking/Disp - Shoplifting,514030,230303
Facl Theft by Unlawful Taking/Disp - Shoplifting,514030,230304
Comp Theft by Unlawful Taking/Disp - Shoplifting,514030,230305
"TBUT - Shoplifting $10,000 or more",514030,230350
"Att TBUT - Shoplifting $10,000 or more",514030,230351
"Solc TBUT - Shoplifting  $10,000 or more",514030,230352
"Cons TBUT -Shoplifting $10,000 or more",514030,230353
"Facl TBUT - Shoplifting $10,000 or more",514030,230354
"Comp TBUT - Shoplifting $10,000 or more",514030,230355
Theft by Unlawful Taking/Disp - Shoplifting,514030,230390
Att Theft by Unlawful Taking/Disp - Shoplifting,514030,230391
Solc Theft by Unlawful Taking/Disp - Shoplifting,514030,230392
Cons Theft by Unlawful Taking/Disp - Shoplifting,514030,230393
Facl Theft by Unlawful Taking/Disp - Shoplifting,514030,230394
Comp Theft by Unlawful Taking/Disp - Shoplifting,514030,230395
Theft by Unlawful Taking/Disp - Parts from Vehicle,514030,230400
Att Theft by Unlawful Taking/Disp - Parts from Vehicle,514030,230401
Solc Theft by Unlawful Taking/Disp - Parts from Vehicle,514030,230402
Cons Theft by Unlawful Taking/Disp - Parts from Vehicle,514030,230403
Facl Theft by Unlawful Taking/Disp - Parts from Vehicle,514030,230404
Comp Theft by Unlawful Taking/Disp - Parts from Vehicle,514030,230405
"TBUT - Parts from Vehicle $10,000 or more",514030,230450
"Att TBUT - Parts from Vehicle $10,000 or more",514030,230451
"Solc TBUT - Parts from Vehicle  $10,000 or more",514030,230452
"Cons TBUT -Parts from Vehicle $10,000 or more",514030,230453
"Facl TBUT - Parts from Vehicle $10,000 or more",514030,230454
"Comp TBUT - Parts from Vehicle $10,000 or more",514030,230455
Theft by Unlawful Taking/Disp - Parts from Vehicle,514030,230490
Att Theft by Unlawful Taking/Disp - Parts from Vehicle,514030,230491
Solc Theft by Unlawful Taking/Disp - Parts from Vehicle,514030,230492
Cons Theft by Unlawful Taking/Disp - Parts from Vehicle,514030,230493
Facl Theft by Unlawful Taking/Disp - Parts from Vehicle,514030,230494
Comp Theft by Unlawful Taking/Disp - Parts from Vehicle,514030,230495
Theft by Unlawful Taking/Disp - From Auto,514030,230500
Att Theft by Unlawful Taking/Disp - From Auto,514030,230501
Solc Theft by Unlawful Taking/Disp - From Auto,514030,230502
Cons Theft by Unlawful Taking/Disp - From Auto,514030,230503
Facl Theft by Unlawful Taking/Disp - From Auto,514030,230504
Comp Theft by Unlawful Taking/Disp - From Auto,514030,230505
"TBUT - From Auto $10,000 or more",514030,230550
"Att TBUT - From Auto $10,000 or more",514030,230551
"Solc TBUT - From Auto  $10,000 or more",514030,230552
"Cons TBUT - From Auto $10,000 or more",514030,230553
"Facl TBUT - From Auto $10,000 or more",514030,230554
"Comp TBUT - From Auto $10,000 or more",514030,230555
Theft by Unlawful Taking/Disp - From Auto,514030,230590
Att Theft by Unlawful Taking/Disp - From Auto,514030,230591
Solc Theft by Unlawful Taking/Disp - From Auto,514030,230592
Cons Theft by Unlawful Taking/Disp - From Auto,514030,230593
Facl Theft by Unlawful Taking/Disp - From Auto,514030,230594
Comp Theft by Unlawful Taking/Disp - From Auto,514030,230595
Theft by Unlawful Taking/Disp - Coin Machine,514030,230700
Att Theft by Unlawful Taking/Disp - Coin Machine,514030,230701
Solc Theft by Unlawful Taking/Disp - Coin Machine,514030,230702
Cons Theft by Unlawful Taking/Disp - Coin Machine,514030,230703
Facl Theft by Unlawful Taking/Disp - Coin Machine,514030,230704
Comp Theft by Unlawful Taking/Disp - Coin Machine,514030,230705
"TBUT - Coin Machine $10,000 or more",514030,230750
"Att TBUT - Coin Machine $10,000 or more",514030,230751
"Solc TBUT - Coin Machine  $10,000 or more",514030,230752
"Cons TBUT - Coin Machine $10,000 or more",514030,230753
"Facl TBUT - Coin Machine $10,000 or more",514030,230754
"Comp TBUT - Coin Machine $10,000 or more",514030,230755
Theft by Unlawful Taking/Disp - Coin Machine,514030,230790
Att Theft by Unlawful Taking/Disp - Coin Machine,514030,230791
Solc Theft by Unlawful Taking/Disp - Coin Machine,514030,230792
Cons Theft by Unlawful Taking/Disp - Coin Machine,514030,230793
Facl Theft by Unlawful Taking/Disp - Coin Machine,514030,230794
Comp Theft by Unlawful Taking/Disp - Coin Machine,514030,230795
Theft by Unlawful Taking/Disp - Building,514030,230800
Att Theft by Unlawful Taking/Disp - Building,514030,230801
Solc Theft by Unlawful Taking/Disp - Building,514030,230802
Cons Theft by Unlawful Taking/Disp - Building,514030,230803
Facl Theft by Unlawful Taking/Disp - Building,514030,230804
Comp Theft by Unlawful Taking/Disp - Building,514030,230805
"TBUT - Building $10,000 or more",514030,230850
"Att TBUT - Building $10,000 or more",514030,230851
"Solc TBUT - Building  $10,000 or more",514030,230852
"Cons TBUT - Building $10,000 or more",514030,230853
"Facl TBUT - Building $10,000 or more",514030,230854
"Comp TBUT - Building $10,000 or more",514030,230855
Theft by Unlawful Taking/Disp - Building,514030,230890
Att Theft by Unlawful Taking/Disp - Building,514030,230891
Solc Theft by Unlawful Taking/Disp - Building,514030,230892
Cons Theft by Unlawful Taking/Disp - Building,514030,230893
Facl Theft by Unlawful Taking/Disp - Building,514030,230894
Comp Theft by Unlawful Taking/Disp - Building,514030,230895
Theft by Unlawful Taking/Disp - Firearm,514030,231000
Att Theft by Unlawful Taking/Disp - Firearm,514030,231001
Solc Theft by Unlawful Taking/Disp - Firearm,514030,231002
Cons Theft by Unlawful Taking/Disp - Firearm,514030,231003
Facl Theft by Unlawful Taking/Disp - Firearm,514030,231004
Comp Theft by Unlawful Taking/Disp - Firearm,514030,231005
Theft by Unlawful Taking (Anhydrous Ammonia),514030,231010
Att Theft by Unlawful Taking (Anhydrous Ammonia),514030,231011
Solc Theft by Unlawful Taking (Anhydrous Ammonia),514030,231012
Cons Theft by Unlawful Taking (Anhydrous Ammonia),514030,231013
Facl Theft by Unlawful Taking (Anhydrous Ammonia),514030,231014
Comp Theft by Unlawful Taking (Anhydrous Ammonia),514030,231015
TBUT (Anh. Amm) W/ Intent to Mfg. Meth. 1st offense,514030,231020
Att TBUT (Anh. Amm) W/ Intent to Mfg. Meth. 1st offense,514030,231021
Solc TBUT (Anh. Amm) W/ Intent to Mfg. Meth. 1st offense,514030,231022
Cons TBUT (Anh. Amm) W/ Intent to Mfg. Meth. 1st offense,514030,231023
Facl TBUT (Anh. Amm) W/ Intent to Mfg. Meth. 1st offense,514030,231024
Comp TBUT (Anh. Amm) W/ Intent to Mfg. Meth. 1st offense,514030,231025
TBUT (Anh. Amm) W/ Intent to Mfg. Meth. 2nd or > offense,514030,231030
Att TBUT (Anh. Amm) W/ Intent to Mfg. Meth. 2nd or >  offense,514030,231031
Solc TBUT (Anh. Amm) W/ Intent to Mfg. Meth. 2nd or >  offense,514030,231032
Cons TBUT (Anh. Amm) W/ Intent to Mfg. Meth. 2nd or >  offense,514030,231033
Facl TBUT (Anh. Amm) W/ Intent to Mfg. Meth. 2nd or >  offense,514030,231034
Comp TBUT (Anh. Amm) W/ Intent to Mfg. Meth. 2nd or > offense,514030,231035
TBUT - Gasoline U/$500,514030,231500
Att TBUT - Gasoline U/$500,514030,231501
Solc TBUT -Gasoline  U/$500,514030,231502
Cons TBUT - Gasoline U/$500,514030,231503
Facl TBUT - Gasoline U/$500,514030,231504
Comp TBUT - Gasoline U/$500,514030,231505
"TBUT - Gasoline U/$10,000 ",514030,231510
"Att TBUT - Gasoline U/$10,000 ",514030,231511
"Solc TBUT -Gasoline  U/$10,000 ",514030,231512
"Cons TBUT - Gasoline U/$10,000 ",514030,231513
"Facl TBUT - Gasoline U/$10,000 ",514030,231514
"Comp TBUT - Gasoline U/$10,000 ",514030,231515
"TBUT - Gasoline $10,000 or more",514030,231520
"Att TBUT - Gasoline $10,000 or more",514030,231521
"Solc TBUT -Gasoline  $10,000 or more",514030,231522
"Cons TBUT - Gasoline $10,000 or more",514030,231523
"Facl TBUT - Gasoline $10,000 or more",514030,231524
"Comp TBUT - Gasoline $10,000 or more",514030,231525
Theft of Property Lost/Mislaid/Deliver by Mistake,514050,232100
Att Theft of Property Lost/Mislaid/Deliver by Mistake,514050,232101
Solc Theft of Property Lost/Mislaid/Deliver by Mistake,514050,232102
Cons Theft of Property Lost/Mislaid/Deliver by Mistake,514050,232103
Facl Theft of Property Lost/Mislaid/Deliver by Mistake,514050,232104
Comp Theft of Property Lost/Mislaid/Deliver by Mistake,514050,232105
"Theft of Property Lost/Mislaid/Deliver by Mistake $10,000 >",514050,232110
"Att Theft of Property Lost/Mislaid/Deliver by Mistake $10,000 >",514050,232111
"Solc Theft of Property Lost/Mislaid/Deliver by Mistake $10,000 >",514050,232112
"Cons Theft of Property Lost/Mislaid/Deliver by Mistake $10,000 >",514050,232113
"Facl Theft of Property Lost/Mislaid/Deliver by Mistake $10,000 >",514050,232114
"Comp Theft of Property Lost/Mislaid/Deliver by Mistake $10,000 >",514050,232115
Theft of Services,514060,232200
Att Theft of Services,514060,232201
Solc Theft of Services,514060,232202
Cons Theft of Services,514060,232203
Facl Theft of Services,514060,232204
Comp Theft of Services,514060,232205
"Theft of Services $10,000 or more",514060,232210
"Att Theft of Services $10,000 or more",514060,232211
"Solc Theft of Services $10,000 or more",514060,232212
"Cons Theft of Services $10,000 or more",514060,232213
"Facl Theft of Services $10,000 or more",514060,232214
"Comp Theft of Services $10,000 or more",514060,232215
Poss/Use/Transfer Device for Theft Services 2nd,514065,232250
Att Poss/Use/Transfer Device for Theft Services 2nd,514065,232251
Solc Poss/Use/Transfer Device for Theft Services 2nd,514065,232252
Cons Poss/Use/Transfer Device for Theft Services 2nd,514065,232253
Facl Poss/Use/Transfer Device for Theft Services 2nd,514065,232254
Comp Poss/Use/Transfer Device for Theft Services 2nd,514065,232255
Theft by Failure to Make Req Disposition of PPTY,514070,232300
Att Theft by Failure to Make Req Disposition of PPTY,514070,232301
Solc Theft by Failure to Make Req Disposition of PPTY,514070,232302
Cons Theft by Failure to Make Req Disposition of PPTY,514070,232303
Facl Theft by Failure to Make Req Disposition of PPTY,514070,232304
Comp Theft by Failure to Make Req Disposition of PPTY,514070,232305
"Theft by Failure to Make Req Disposition of PPTY $10,000 >",514070,232310
"Att Theft by Failure to Make Req Disposition of PPTY $10,000 >",514070,232311
"Solc Theft by Failure to Make Req Disposition of PPTY $10,000 >",514070,232312
"Cons Theft by Failure to Make Req Disposition of PPTY $10,000 >",514070,232313
"Facl Theft by Failure to Make Req Disposition of PPTY $10,000 >",514070,232314
"Comp Theft by Failure to Make Req Disposition of PPTY $10,000 >",514070,232315
Theft by Extortion,514080,232400
Att Theft by Extortion,514080,232401
Solc Theft by Extortion,514080,232402
Cons Theft by Extortion,514080,232403
Facl Theft by Extortion,514080,232404
Comp Theft by Extortion,514080,232405
"Theft by Extortion $10,000 or more",514080,232410
"Att Theft by Extortion $10,000 or more",514080,232411
"Solc Theft by Extortion $10,000 or more",514080,232412
"Cons Theft by Extortion $10,000 or more",514080,232413
"Facl Theft by Extortion $10,000 or more",514080,232414
"Comp Theft by Extortion $10,000 or more",514080,232415
Theft of Labor,514090,232500
Att Theft of Labor,514090,232501
Solc Theft of Labor,514090,232502
Cons Theft of Labor ,514090,232503
Facl Theft of Labor,514090,232504
Comp Theft of Labor,514090,232505
"Theft of Labor $10,000 or more",514090,232510
"Att Theft of Labor $10,000 or more",514090,232511
"Solc Theft of Labor $10,000 or more",514090,232512
"Cons Theft of Labor $10,000 or more",514090,232513
"Facl Theft of Labor $10,000 or more",514090,232514
"Comp Theft of Labor $10,000 or more",514090,232515
Theft by Unlawful Taking/Disp - Bicycle,514030,232600
Att Theft by Unlawful Taking/Disp - Bicycle,514030,232601
Solc Theft by Unlawful Taking/Disp - Bicycle,514030,232602
Cons Theft by Unlawful Taking/Disp - Bicycle,514030,232603
Facl Theft by Unlawful Taking/Disp - Bicycle,514030,232604
Comp Theft by Unlawful Taking/Disp - Bicycle,514030,232605
Theft of Mail Matter,514040,232650
Att Theft of Mail Matter,514040,232651
Solc Theft of Mail Matter,514040,232652
Cons Theft of Mail Matter,514040,232653
Facl Theft of Mail Matter,514040,232654
Comp Theft of Mail Matter,514040,232655
"TBUT - Bicycle $10,000 or more",514030,232660
"Att TBUT - Bicycle $10,000 or more",514030,232661
"Solc TBUT -Bicycle  $10,000 or more",514030,232662
"Cons TBUT - Bicycle $10,000 or more",514030,232663
"Facl TBUT - Bicycle $10,000 or more",514030,232664
"Comp TBUT - Bicycle $10,000 or more",514030,232665
Theft by Unlawful Taking/Disp - Bicycle,514030,232690
Att Theft by Unlawful Taking/Disp - Bicycle,514030,232691
Solc Theft by Unlawful Taking/Disp - Bicycle,514030,232692
Cons Theft by Unlawful Taking/Disp - Bicycle,514030,232693
Facl Theft by Unlawful Taking/Disp - Bicycle,514030,232694
Comp Theft by Unlawful Taking/Disp - Bicycle,514030,232695
Theft by Unlawful Taking/Disp - Farm Equipment,514030,232700
Att Theft by Unlawful Taking/Disp - Farm Equipment,514030,232701
Solc Theft by Unlawful Taking/Disp - Farm Equipment,514030,232702
Cons Theft by Unlawful Taking/Disp - Farm Equipment,514030,232703
Facl Theft by Unlawful Taking/Disp - Farm Equipment,514030,232704
Comp Theft by Unlawful Taking/Disp - Farm Equipment,514030,232705
"TBUT - Farm Equipment $10,000 or more",514030,232710
"Att TBUT - Farm Equipment $10,000 or more",514030,232711
"Solc TBUT - Farm Equipment  $10,000 or more",514030,232712
"Cons TBUT - Farm Equipment $10,000 or more",514030,232713
"Facl TBUT - Farm Equipment $10,000 or more",514030,232714
"Comp TBUT - Farm Equipment $10,000 or more",514030,232715
Theft by Unlawful Taking/Disp - Farm Equipment,514030,232720
Att Theft by Unlawful Taking/Disp - Farm Equipment,514030,232721
Solc Theft by Unlawful Taking/Disp - Farm Equipment,514030,232722
Cons Theft by Unlawful Taking/Disp - Farm Equipment,514030,232723
Facl Theft by Unlawful Taking/Disp - Farm Equipment,514030,232724
Comp Theft by Unlawful Taking/Disp - Farm Equipment,514030,232725
Theft by Unlawful Taking/Disp - Livestock,514030,232800
Att Theft by Unlawful Taking/Disp - Livestock,514030,232801
Solc Theft by Unlawful Taking/Disp - Livestock,514030,232802
Cons Theft by Unlawful Taking/Disp - Livestock,514030,232803
Facl Theft by Unlawful Taking/Disp - Livestock,514030,232804
Comp Theft by Unlawful Taking/Disp - Livestock,514030,232805
"TBUT - Livestock $10,000 or more",514030,232850
"Att TBUT - Livestock $10,000 or more",514030,232851
"Solc TBUT - Livestock  $10,000 or more",514030,232852
"Cons TBUT - Livestock $10,000 or more",514030,232853
"Facl TBUT - Livestock $10,000 or more",514030,232854
"Comp TBUT - Livestock $10,000 or more",514030,232855
Theft by Unlawful Taking/Disp - Livestock,514030,232890
Att Theft by Unlawful Taking/Disp - Livestock,514030,232891
Solc Theft by Unlawful Taking/Disp - Livestock,514030,232892
Cons Theft by Unlawful Taking/Disp - Livestock,514030,232893
Facl Theft by Unlawful Taking/Disp - Livestock,514030,232894
Comp Theft by Unlawful Taking/Disp - Livestock,514030,232895
Theft by Unlawful Taking/Disp - All others,514030,232900
